"customer_id","amount","mode","payment_date"
1,60,"Cash","2020-09-24"
2,30,"Credit Card","2020-04-27"
3,90,"Credit Card","2020-07-07"
4,50,"Debit Crad","2020-02-12"
5,40,"Mobile Payment","2020-11-20"
6,40,"Debit Crad","2021-06-28"
7,10,"Cash","2021-08-25"
8,30,"Mobile Payment","2021-06-17"
9,80,"Cash","2021-08-25"
10,50,"Mobile Payment","2021-11-03"
11,70,"Cash","2022-11-01"
12,60,"Netbanking","2022-09-11"
13,30,"Netbanking","2022-12-10"
14,50,"Credit Card","2022-05-14"
15,30,"Credit Card","2022-09-25"
